Time,Location,tavg,wspd
2020-08-07,Delhi,32.1,10.9
2020-08-08,Delhi,33.1,4.2
2020-08-09,Delhi,31.3,5.0
2020-08-10,Delhi,31.6,5.5
2020-08-11,Delhi,31.8,5.9
2020-08-12,Delhi,32.0,7.7
2020-08-13,Delhi,26.8,6.0
2020-08-14,Delhi,29.7,6.9
2020-08-15,Delhi,31.7,6.1
2020-08-16,Delhi,32.0,7.4
2020-08-17,Delhi,30.4,6.8
2020-08-18,Delhi,31.0,5.5
2020-08-19,Delhi,26.6,4.4
2020-08-20,Delhi,26.2,5.4
2020-08-21,Delhi,30.7,7.7
2020-08-22,Delhi,31.2,11.0
2020-08-23,Delhi,30.4,10.6
2020-08-24,Delhi,29.9,8.6
2020-08-25,Delhi,30.0,6.7
2020-08-26,Delhi,31.3,7.0
2020-08-27,Delhi,31.0,6.5
2020-08-28,Delhi,28.6,3.1
2020-08-29,Delhi,30.0,3.4
2020-08-30,Delhi,29.0,11.3
2020-08-31,Delhi,29.4,10.6
2020-09-01,Delhi,30.9,8.1
2020-09-02,Delhi,30.5,3.2
2020-09-03,Delhi,31.0,6.7
2020-09-04,Delhi,31.3,5.2
2020-09-05,Delhi,30.8,4.8
2020-09-06,Delhi,30.6,4.2
2020-09-07,Delhi,29.7,2.9
2020-09-08,Delhi,31.3,4.1
2020-09-09,Delhi,31.5,4.6
2020-09-10,Delhi,31.5,6.0
2020-09-11,Delhi,31.7,4.7
2020-09-12,Delhi,31.8,1.4
2020-09-13,Delhi,32.0,1.5
2020-09-14,Delhi,32.0,1.8
2020-09-15,Delhi,31.9,3.0
2020-09-16,Delhi,32.4,6.1
2020-09-17,Delhi,32.6,7.3
2020-09-18,Delhi,33.2,6.4
2020-09-19,Delhi,32.5,3.4
2020-09-20,Delhi,31.9,3.4
2020-09-21,Delhi,32.1,3.5
2020-09-22,Delhi,32.2,4.9
2020-09-23,Delhi,31.8,5.8
2020-09-24,Delhi,30.8,4.4
2020-09-25,Delhi,31.1,4.9
2020-09-26,Delhi,29.5,6.0
2020-09-27,Delhi,29.9,5.1
2020-09-28,Delhi,30.0,4.7
2020-09-29,Delhi,29.4,6.6
2020-09-30,Delhi,28.9,6.3
2020-10-01,Delhi,29.1,6.6
2020-10-02,Delhi,28.6,4.2
2020-10-03,Delhi,28.3,3.3
2020-10-04,Delhi,27.0,4.3
2020-10-05,Delhi,27.2,5.3
2020-10-06,Delhi,27.3,5.3
2020-10-07,Delhi,27.4,3.4
2020-10-08,Delhi,27.3,2.9
2020-10-09,Delhi,27.2,1.0
2020-10-10,Delhi,27.4,4.7
2020-10-11,Delhi,27.2,6.0
2020-10-12,Delhi,26.9,1.3
2020-10-13,Delhi,27.6,1.0
2020-10-14,Delhi,28.4,0.8
2020-10-15,Delhi,27.2,1.2
2020-10-16,Delhi,25.7,1.6
2020-10-17,Delhi,25.1,1.7
2020-10-18,Delhi,25.5,3.5
2020-10-19,Delhi,24.8,3.1
2020-10-20,Delhi,24.0,2.2
2020-10-21,Delhi,24.5,1.6
2020-10-22,Delhi,24.4,0.8
2020-10-23,Delhi,25.2,1.4
2020-10-24,Delhi,23.2,3.0
2020-10-25,Delhi,23.1,0.5
2020-10-26,Delhi,23.2,1.4
2020-10-27,Delhi,22.4,3.6
2020-10-28,Delhi,21.6,1.5
2020-10-29,Delhi,21.3,0.8
2020-10-30,Delhi,21.4,2.6
2020-10-31,Delhi,21.6,5.2
2020-11-01,Delhi,20.8,6.1
2020-11-02,Delhi,19.9,5.0
2020-11-03,Delhi,19.7,2.2
2020-11-04,Delhi,19.2,2.6
2020-11-05,Delhi,20.1,2.5
2020-11-06,Delhi,20.3,2.3
2020-11-07,Delhi,19.6,2.2
2020-11-08,Delhi,18.8,0.7
2020-11-09,Delhi,18.7,1.4
2020-11-10,Delhi,19.2,1.0
2020-11-11,Delhi,19.6,1.8
2020-11-12,Delhi,19.6,0.4
2020-11-13,Delhi,20.0,1.4
2020-11-14,Delhi,19.2,1.0
2020-11-15,Delhi,19.8,5.5
2020-11-16,Delhi,20.3,5.9
2020-11-17,Delhi,19.4,3.2
2020-11-18,Delhi,17.9,1.5
2020-11-19,Delhi,17.1,1.7
2020-11-20,Delhi,16.4,4.2
2020-11-21,Delhi,16.1,5.7
2020-11-22,Delhi,15.1,4.2
2020-11-23,Delhi,15.5,0.6
2020-11-24,Delhi,15.7,1.3
2020-11-25,Delhi,16.6,2.5
2020-11-26,Delhi,18.2,4.1
2020-11-27,Delhi,18.0,6.2
